T,TM,Tm,H,VV,V,VM,PM 2.5
14.7,21,10,76,0.6,3,11.1,313.22
14.4,15,13,91,1.4,6.1,16.5,186.18
14,17,11,91,0.6,4.8,13,87.18
9.1,12,6,91,0.5,6.7,13,217.87
8.4,10,7,95,0.5,5.7,11.1,229.9
9.7,15,7,89,0.8,5.9,11.1,201.66
11.7,17,6,83,0.8,10.9,18.3,197.61
11.3,15,6,89,0.8,9.4,20.6,164.39
10.7,18,5,84,0.5,4.3,11.1,166.19
12.9,19,9,81,0.8,7.6,13,183.35
13.5,17,11,85,1.1,11.3,16.5,165.63
13.3,17,10,84,1.3,11.7,18.3,159.54
11.9,17,9,88,1,7.6,14.8,148.59
13.1,15,11,88,0.8,4.1,13,129.34
11.8,17,8,84,0.8,10.7,16.5,154.2
13,20,6,70,1.9,7.2,20.6,158.59
15.7,22,9,68,1.6,9.8,14.8,211.59
17.3,23,12,70,1.8,15.6,24.1,163.64
15.6,22,10,82,1.4,13.5,22.2,157.71
17.1,24,10,58,1.9,3.7,11.1,160.75
17.4,23,11,53,2.3,8.9,61.1,145.34
16.8,24,10,62,2.1,10,18.3,134.67
17.3,25,9,55,2.6,8,22.2,167.01
20.5,27,12,52,2.6,8.1,18.3,193.96
19.4,27,12,60,1.4,7,16.5,184.06
24.1,29,20,66,1.9,15.9,22.2,159.97
22.8,29,18,63,1.9,10.2,20.6,144.12
21.3,27,16,59,2.3,13,22.2,155.38
22.7,28,16,58,2.1,10.4,14.8,148.19
19.6,27,14,36,2.7,9.4,18.3,140.78
19.7,27,12,38,2.9,9.1,16.5,130.42
16.9,19,15,94,2.3,17.6,27.8,71.83
17,22,14,84,2.3,9.1,24.1,53.71
16.4,21,12,77,1.9,8.7,16.5,83.49
18.3,26,14,73,2.4,7,20.6,77.57
19.2,24,15,70,3.1,12.8,20.6,63.24
17.3,23,10,51,3.2,14.1,18.3,76.62
22.4,28,15,48,1.6,6.3,11.1,108.66
21.2,27,17,63,2.9,9.4,18.3,67.94
17,20,15,77,3.1,12,18.3,38.89
21.2,29,15,55,2.9,6.9,20.6,69.51
22.8,30,15,51,2.7,7.4,18.3,96.62
24.9,31,17,51,2.9,11.1,16.5,96.28
28,34,21,48,2.3,5.7,14.8,107.26
28.8,36,20,43,2.6,9.4,25.9,109.78
28.7,35,21,39,3.5,9.3,18.3,62.27
25.2,31,20,61,2.7,7.6,14.8,55.66
27.5,33,20,48,2.9,8.3,14.8,112.86
27.3,34,20,46,3.4,12.6,22.2,78.51
24.2,29,18,71,4,10.6,18.3,66.52
23.3,29,20,62,3.1,9.3,18.3,66.09
27.1,33,20,41,3.2,9.4,14.8,95.34
26,32,19,44,3.2,9.6,18.3,63.57
25.2,30,19,59,3.2,10.7,22.2,86.49
26.7,32,22,53,2.9,8,18.3,77.07
27.9,34,22,52,2.7,8.3,16.5,98.79
33.3,41,22,29,2.4,6.3,13,125.53
33.3,39,26,32,2.4,11.1,18.3,121.51
31.6,39,24,28,2.9,9.6,18.3,114.5
30.9,36,25,34,2.1,16.9,24.1,106.76
28.9,33,24,43,2.7,16.7,27.8,65.36
31.1,37,25,41,2.7,17.2,25.9,67.08
31.5,39,24,36,3.5,9.8,20.6,76.1
31.3,39,24,30,3.2,6.1,16.5,72.66
31.6,41,23,26,2.4,5.7,14.8,121.94
35.3,43,27,16,2.9,12.2,18.3,117.76
34.7,43,27,19,2.4,8.7,22.2,90.66
35.9,42,27,19,2.6,7.4,14.8,106.4
26.9,34,23,60,2.9,10.2,18.3,83.42
31,37,24,43,2.9,5.7,14.8,78.06
29,37,23,49,2.6,7.8,18.3,97.87
31.6,42,23,40,2.7,12.4,37,89.85
33.4,43,22,31,2.6,12.2,22.2,67.41
36.1,45,28,24,2.9,10,20.6,75.54
38.8,45,31,14,2.6,11.9,22.2,117.27
37.9,46,28,14,3.1,12.2,22.2,96.09
36.2,44,27,13,2.7,9.6,22.2,84.71
35.5,41,28,22,2.6,15.4,27.8,73.62
30.7,36,27,32,2.7,13.9,22.2,49.42
31.7,41,26,33,2.9,10.4,18.3,52.51
28.1,33,24,51,2.9,12.4,27.8,65.28
36.7,43,30,28,3.4,7.6,16.5,85.03
38.1,44,30,22,3.5,7.6,18.3,137.7
37.1,43,32,26,3.1,16.3,31.7,136.05
30.2,39,24,52,2.6,14.1,22.2,73.7
27.3,33,22,72,2.4,7.4,14.8,74.56
31.6,37,27,57,2.4,5.9,16.5,106.11
36.7,42,32,43,3.2,12.6,20.6,110.65
33.3,38,29,48,3.4,15.4,22.2,80.31
30.1,35,25,67,3.4,13.3,37,59.73
26.7,30,23,83,2.1,8.9,16.5,37.59
31.2,39,26,58,2.6,13.1,20.6,76.0
32.4,38,28,54,3.1,13.1,24.1,69.46
31.4,37,27,56,3.2,8.7,22.2,57.99
33.6,39,28,47,3.4,10.6,20.6,67.12
32.1,41,27,54,3.4,13.9,33.5,65.25
28,33,25,83,1.6,6.9,14.8,52.2
30.7,35,27,70,2.4,8,16.5,67.92
28.8,33,26,82,1.8,7.2,14.8,65.95
29.7,33,25,73,3.5,7,11.1,36.68
30.6,36,28,73,3.7,10.9,18.3,44.48
32.8,37,29,60,4.2,14.8,24.1,63.79
29.2,33,26,76,2.9,4.6,14.8,67.39
28.6,32,25,81,2.6,8.3,16.5,49.58
30.8,35,27,76,3.4,10.2,14.8,40.97
31.2,35,28,73,2.4,13.1,20.6,46.01
29.6,32,26,75,2.9,18,22.2,29.81
29.2,33,26,74,3.5,15,22.2,22.82
28.8,31,26,75,2.4,8.9,14.8,37.85
